ImageName,Label,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta1_Lambda1_LocalEnergy,Theta1_Lambda1_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude
MaI856_26.jpg,bad,168319545,274947605,241038725,268245144,207459580,168319545,274947605,241038725,268245144,207459580,168534477,277240844,242443266,271065266,208327906,144219011,277587539,271521266,273563435,267492526,144103851,277866891,272451172,274024797,267850950,492543981,361807603,260581965,320013312,467950062,492543981,361807603,260581965,320013312,467950062,492763653,361797364,260536678,319985138,468176698,506292959,381226927,202974930,104756073,110822780,506310119,381232733,202974102,104748443,110816190
MaI856_27.jpg,bad,247110743,286147254,267070437,273988677,271948272,247110743,286147254,267070437,273988677,271948272,247905294,288833629,275559898,277807814,273421908,227112912,295064334,304033652,292686622,290558001,227144842,295127473,304968925,294375568,292631509,438242953,308499964,222427683,272849929,408365254,438242953,308499964,222427683,272849929,408365254,438627322,308541097,222275064,272864688,408693960,457758866,325324770,173128522,89464658,94623229,457798502,325332755,173125783,89434638,94597891
MaI856_28.jpg,bad,99433211,201342531,277554193,264659916,108893607,99433211,201342531,277554193,264659916,108893607,99703125,204439615,285366332,270883284,109333213,94401367,175770774,251781655,273420108,283562183,94251570,175825105,252809813,274196817,284730709,529815373,468606943,347787013,425531870,520828159,529815373,468606943,347787013,425531870,520828159,529916365,469045883,347683178,425803968,520942649,536020589,484095436,270828169,139890370,147970975,535915390,484097381,270825363,139862993,147945477
MaI856_29.jpg,bad,81654063,227784643,235342071,239365750,91945820,81654063,227784643,235342071,239365750,91945820,81894847,230918019,240644133,242700473,92301195,76935081,207494649,180179632,206379073,219754880,76839724,207575445,181175238,207283248,220712704,450765107,378494227,273895485,336077418,442870034,450765107,378494227,273895485,336077418,442870034,450981023,378636265,273816901,336133275,443100663,455927959,396894153,213307848,110156067,116523752,455976162,396935209,213305278,110130696,116501454
MaI856_30.jpg,bad,72673435,229694231,215570964,234302472,93226923,72673435,229694231,215570964,234302472,93226923,72290022,233627774,220950494,237732889,92760500,65123862,224210784,196803549,208794469,205285944,65007290,224958358,197817772,208712791,205029259,455621505,366814163,264881130,325064780,446599873,455621505,366814163,264881130,325064780,446599873,455771716,366955194,264774908,325071139,446948774,460315464,385816900,206261899,106531619,112688574,460431382,385913332,206258382,106509759,112667875
MaI856_31.jpg,bad,143728652,251009485,253545044,263314588,169554400,143728652,251009485,253545044,263314588,169554400,144268891,255268932,259347617,268539525,170302979,128133999,243987242,254180924,266611052,268794661,128252632,244181763,255120659,267382901,269495059,500022016,394976361,287428172,352264544,481301130,500022016,394976361,287428172,352264544,481301130,500452329,395327948,287278075,352390173,481730103,511600229,413781712,223790354,115631696,122304645,511647304,413803921,223786845,115604413,122279677
MaI856_32.jpg,bad,106140256,252819505,242645323,269939373,141397653,106140256,252819505,242645323,269939373,141397653,104992184,255979494,246412193,275822854,139760763,92119381,247587058,251319343,261843852,255318840,92269692,247988236,252509887,262697839,255519989,522224582,415501397,301693845,370120671,507256087,522224582,415501397,301693845,370120671,507256087,522634360,415706482,301600459,370076344,508156023,529855271,435212410,234955983,121299154,128317448,530022946,435246454,234952855,121277739,128298293
MaI856_33.jpg,bad,147818971,269665661,241413832,266395604,190458598,147818971,269665661,241413832,266395604,190458598,147709379,273142480,241383982,270253044,191530223,123352696,269905214,269255629,278065964,271674434,123375949,270357665,269905344,278443916,272285784,517764503,388303871,280229590,343990062,494413310,517764503,388303871,280229590,343990062,494413310,518497185,388519654,280176360,344054754,495195371,530804060,408650180,218246063,112680590,119198554,530810393,408661703,218244332,112665518,119184938
MaI856_34.jpg,bad,75655549,247667606,270371097,277047419,90366952,75655549,247667606,270371097,277047419,90366952,75667018,251608094,276457685,281440486,90168688,69055484,220428592,214217920,251268575,264615503,68995735,221348085,213807031,250858258,264861478,554762021,472410260,343154133,421010865,546233782,554762021,472410260,343154133,421010865,546233782,554957628,472864968,343054007,421166656,546523972,559802486,494045948,267241388,137998567,145977867,559931829,494232411,267237181,137976966,145957798
MaI856_35.jpg,bad,109544609,232617924,235375850,252708276,135262092,109544609,232617924,235375850,252708276,135262092,109702046,236736488,240576479,258266340,136150889,95977773,218440951,225729542,242427644,247051969,96017663,218944728,227199668,243172292,247723247,479232953,390030576,283094824,347327808,465475124,479232953,390030576,283094824,347327808,465475124,479568592,390183858,282939925,347376040,465814139,486881387,407927813,220392834,113866766,120440113,486992587,407940592,220388382,113836710,120413105
MaI856_36.jpg,bad,95601497,253621502,216382255,249705130,127512350,95601497,253621502,216382255,249705130,127512350,95600200,256753749,219475386,253609411,127452427,85850713,259862527,228680721,224583925,207764861,86015953,260398614,230096126,225127110,207893446,468699779,359655288,258980385,317991210,456328330,468699779,359655288,258980385,317991210,456328330,469024654,359669751,258884640,317967499,456906221,474647701,379231077,201682201,104135247,110158633,474768713,379242838,201679986,104119076,110144186
MaI856_37.jpg,bad,89341505,230126977,197581961,227674979,120783313,89341505,230126977,197581961,227674979,120783313,88889619,232392241,202365353,231809685,119336811,78588199,234794107,215402094,215849219,202815073,78582296,235188546,216660383,216044680,202208615,432320955,328736721,236870585,290727033,419091777,432320955,328736721,236870585,290727033,419091777,432595505,328822917,236756889,290743179,419708979,439232509,346716059,184423866,95264693,100766931,439235878,346735850,184421239,95244154,100747581
MaI856_38.jpg,bad,77581891,214114407,220954360,228191085,89502608,77581891,214114407,220954360,228191085,89502608,77892573,216475578,225699275,231038629,89513815,72648131,194274470,178299702,201826057,210142206,72783735,194620573,179060132,201945603,210760766,432280165,360776191,260639458,319926793,423989166,432280165,360776191,260639458,319926793,423989166,432309705,360841168,260526837,319918607,424034951,437582373,378076942,202941874,104796317,110856146,437596459,378106351,202941622,104778595,110838924
MaI856_39.jpg,bad,88327764,220307638,241968862,244239348,101875415,88327764,220307638,241968862,244239348,101875415,88358537,224310387,248808011,248981700,101824422,82670883,207813875,216715639,233232474,235172159,82684061,207835494,217284281,233328347,235636250,478364028,400448620,292951100,358697378,468967205,478364028,400448620,292951100,358697378,468967205,478678509,400888173,292879001,358915770,469410638,484517479,418098811,228130343,117830700,124638079,484328139,418082054,228127797,117814665,124623400
MaI856_40.jpg,bad,154506349,237871972,227914187,240698417,179105646,154506349,237871972,227914187,240698417,179105646,154999906,241082005,229576080,244837327,180945246,140416544,238629362,239213381,237603692,234336458,140614689,239266021,240707000,238422016,235183930,424646181,324916050,236121549,289440751,406287210,424646181,324916050,236121549,289440751,406287210,424971596,324954425,236032052,289441219,406598872,435622594,340681296,183859881,94939606,100428644,435830893,340704127,183857080,94919354,100411148
MaI856_41.jpg,bad,129648689,213596067,182725646,205552801,162140325,129648689,213596067,182725646,205552801,162140325,129573443,216603146,187017327,210315709,163100155,112074682,217450854,210244521,206856285,201628356,111783458,217724343,211226743,207993869,203117480,361246669,263995577,190351124,233491133,343192447,361246669,263995577,190351124,233491133,343192447,361671081,264023248,190124495,233455731,343601195,371474836,278409764,148091609,76583449,80990702,371516828,278418999,148087787,76548491,80957740
MaI856_42.jpg,bad,139112867,207521982,192952385,202270790,158176642,139112867,207521982,192952385,202270790,158176642,139237251,209439155,195059273,204622374,159067181,127330296,208221036,201515311,199760460,198896201,127167867,208295740,202437204,200774552,199639710,337737019,250326836,180310147,221359320,320899736,337737019,250326836,180310147,221359320,320899736,338145025,250338415,180238113,221348690,321293321,348502776,263795622,140390941,72506184,76695113,348402179,263796318,140389042,72484152,76676430
MaI856_43.jpg,bad,162873146,226809176,200567095,218599762,192580987,162873146,226809176,200567095,218599762,192580987,163117486,229481533,204931823,223490655,194208509,143685143,230646071,233602047,227478154,223314609,143935644,230864705,234462751,229656990,225691723,365029748,261676704,188599481,231399340,343554091,365029748,261676704,188599481,231399340,343554091,365443782,261690411,188434911,231387711,343911063,377903709,275890113,146768899,75858862,80230049,378021524,275898499,146766401,75822342,80197761
MaI856_44.jpg,bad,187031530,207547669,202713145,204223914,200346198,187031530,207547669,202713145,204223914,200346198,187887534,209076070,209997349,206938578,201336020,176349609,210181582,224311674,220364071,220626226,176372824,210500819,225351825,222420815,222242281,324506478,226861939,163693287,200681184,301041812,324506478,226861939,163693287,200681184,301041812,324861222,226894612,163446607,200660126,301293276,340548487,239280682,127294544,65849929,69632766,340685494,239292003,127291033,65809769,69596593
MaI856_45.jpg,bad,96862967,231276942,252107062,254410677,109364000,96862967,231276942,252107062,254410677,109364000,97068844,235822240,260555333,258614572,109012586,90978182,214235551,213870654,235891781,245049525,91024394,214797786,214451856,236312293,245352547,480156029,403808824,294786002,361091793,470564220,480156029,403808824,294786002,361091793,470564220,480225500,404263468,294668035,361217644,470706190,486422032,422178811,229543812,118531407,125383469,486457854,422238098,229541588,118505737,125361511
MaI856_46.jpg,bad,179818599,253141125,234848946,249649814,207299362,179818599,253141125,234848946,249649814,207299362,180574315,256842208,241827940,253699806,208599084,162021003,254856065,259676983,259174948,257631546,161801211,255079746,260091940,259527041,258049272,428908083,315491503,227719676,279313146,405477652,428908083,315491503,227719676,279313146,405477652,429466301,315662508,227519594,279355406,406014700,443777739,332236841,177226749,91618328,96895374,443687339,332251394,177223382,91591781,96870182
MaI856_47.jpg,bad,116684914,258341702,232184295,255043759,143010747,116684914,258341702,232184295,255043759,143010747,115642596,263908804,240813402,260204522,140951703,105196344,260505080,229907708,233408508,229421733,105256968,260835063,230914457,234189474,229990018,462241746,358473560,258503267,317189203,448039427,462241746,358473560,258503267,317189203,448039427,462641488,358673728,258327034,317218326,448905797,470460950,377861660,201209068,103982844,109979713,470483056,377872949,201204681,103951900,109950716
MaI856_48.jpg,bad,173402206,247673962,235277496,244088582,199534832,173402206,247673962,235277496,244088582,199534832,174041599,251809556,242344963,248491827,200797998,153391563,248765477,252995140,258205180,258775691,153374019,248922654,254372786,259508458,260058331,449799764,335583608,242453648,297425214,426214722,449799764,335583608,242453648,297425214,426214722,450180023,335767450,242280615,297480141,426559974,464547161,353043749,188735462,97510670,103138775,464624833,353069550,188732182,97480812,103111259
MaI856_49.jpg,bad,188326967,207726652,203275306,198921081,207003377,188326967,207726652,203275306,198921081,207003377,189150310,208587629,207868506,200280604,207504513,169683107,214365851,231955477,233331518,233022190,169658864,214279797,232623797,234087700,234008349,362898149,255885246,185199060,226923397,336888507,362898149,255885246,185199060,226923397,336888507,362926638,255832597,185074778,226870098,336852545,379915095,269374309,144177555,74484280,78783454,379998754,269380747,144175161,74463612,78764985
MaI856_50.jpg,bad,192285573,201448770,206483784,196316318,206464574,192285573,201448770,206483784,196316318,206464574,193088888,201929039,208848457,196351987,207040482,176697440,205033288,227775372,230670484,231753119,177001041,205111388,228552581,231798648,233230044,347833839,244010478,176965624,216692556,321725044,347833839,244010478,176965624,216692556,321725044,347848718,243885755,176901039,216588303,321636352,365290328,256723392,137838832,71179646,75294101,365410821,256726658,137836025,71159466,75276090
MaI856_51.jpg,bad,92157626,223458920,222213746,233696932,110102818,92157626,223458920,222213746,233696932,110102818,92218874,225459422,228065808,236727142,110236322,84411837,211003312,198069894,217570230,222168689,84233253,211428037,198925596,218507517,223049789,438060828,356141076,258202978,316562286,427187772,438060828,356141076,258202978,316562286,427187772,437920578,356080964,258037962,316485058,427089500,444499255,373937574,200994874,103833336,109827851,444564439,373977667,200991782,103804401,109801435
MaI856_52.jpg,bad,122595156,239084429,216770922,236467926,149124399,122595156,239084429,216770922,236467926,149124399,122645389,241403673,221753875,239981645,149118072,109387187,236151953,219307483,224894742,223463570,109357560,236167450,220629947,226232916,224716497,425024320,325249725,234563496,287817488,409067697,425024320,325249725,234563496,287817488,409067697,425131911,325267659,234416071,287781213,409208768,434275499,342584711,182624019,94348694,99795490,434225764,342588022,182620437,94308422,99759291
MaI857_Page24.jpg,bad,7802499,28903938,43422568,43368563,10047539,7802499,28903938,43422568,43368563,10047539,7798878,28672316,43313544,43183406,10000555,6706081,23478596,38798418,45066664,46375510,6689225,23463133,38825451,45009295,46294264,95541291,85261730,62764188,77012215,94341087,95541291,85261730,62764188,77012215,94341087,95438182,85210400,62790412,77006850,94235907,96211471,88094864,48894438,25238446,26699170,96206399,88081005,48894553,25238033,26699170
MaI857_Page29.jpg,bad,17246209,49064296,42261066,48562321,26942543,17246209,49064296,42261066,48562321,26942543,17269994,48914616,42406172,48567147,26743490,13140906,49733370,49203293,49696922,46799599,13111697,49728832,49171636,49653737,46843020,102182473,76982766,55870448,68367945,98606281,102182473,76982766,55870448,68367945,98606281,102080828,76914072,55866140,68318993,98520618,103903174,81005756,43529999,22481710,23780127,103899543,81005152,43530036,22476347,23775914
MaI867_01.jpg.png,bad,69519488,91693030,363546413,147265245,68095927,69519488,91693030,363546413,147265245,68095927,67425575,89382000,358000381,146062048,66226035,71227514,81812314,362911786,375377268,364093703,70933485,82066311,361948140,375128442,363916376,772461110,754438710,636145145,734183517,770464645,772461110,754438710,636145145,734183517,770464645,772001357,753516104,635843063,732945640,769921151,773529122,759751834,496162470,256054594,270891767,773524623,759542377,496163050,256062642,270897738
MaI867_02.jpg.png,bad,46577410,56121401,338048324,85578005,45023321,46577410,56121401,338048324,85578005,45023321,45699842,55372761,332432675,83969652,44344490,47798808,50691464,349390383,356210503,348602779,47569026,50881946,349100718,356650015,348057416,761352548,750391885,659878374,738914423,759904135,761352548,750391885,659878374,738914423,759904135,760812550,749039027,659342123,737477304,759265902,762120892,753343388,514764681,265643075,281036451,762121110,753240432,514766292,265647227,281041190
MaI867_03.jpg.png,bad,82699755,94732315,312878595,119113866,82138761,82699755,94732315,312878595,119113866,82138761,80342353,90606599,304929627,114162164,79215681,83678485,90040804,379712178,384997036,388868171,83294992,89656841,379808639,385606276,388463759,827888289,812163457,736670543,799259766,825615193,827888289,812163457,736670543,799259766,825615193,827481895,811112373,735669695,797948808,825122509,829206877,816032488,578178246,298365906,315656357,829223802,815987853,578178499,298371336,315661669
MaI867_04.jpg.png,bad,95779075,106583017,229383629,119315136,96083896,95779075,106583017,229383629,119315136,96083896,93908547,100755707,224911261,113188717,93363773,95925458,104077197,410818474,397198635,393056490,95543886,103501089,409555209,396735091,392588305,824825417,808025101,758369171,797795280,821993466,824825417,808025101,758369171,797795280,821993466,824441815,807217765,756653815,796808449,821518961,826629164,811849775,602133004,310717817,328725318,826614148,811727581,602133955,310729501,328735099
MaI867_05.jpg.png,bad,92343539,98195975,256909873,115443073,91289290,92343539,98195975,256909873,115443073,91289290,90082308,93074261,248618149,110502403,88378846,93629882,96002758,382077136,376210531,372360843,93033098,94966888,381566193,376260125,371981855,793119999,778068703,717674135,767249629,790689438,793119999,778068703,717674135,767249629,790689438,792735598,776960245,716512543,765854937,790193980,794609622,781473838,567864612,293043543,310025425,794616536,781439458,567865831,293054509,310034989
MaI867_06.jpg.png,bad,98331246,105817554,228819446,121265809,97796203,98331246,105817554,228819446,121265809,97796203,96755915,100433944,221448699,114855529,95612387,98843939,103664460,408489964,387778107,382347425,98424090,102970519,406580145,387620982,381618697,795743126,781154084,732271964,771625365,793070993,795743126,781154084,732271964,771625365,793070993,795308249,780032106,730628349,770257347,792533149,797500625,784251564,583807144,301264515,318722675,797524264,784237367,583808411,301277128,318733759
MaI867_07.jpg.png,bad,117438851,108450436,143875141,110298981,114043119,117438851,108450436,143875141,110298981,114043119,114229738,103087486,138417060,105267091,110149027,120474154,109794578,347404476,305350989,302605013,119792105,108830739,346863533,306072266,302116006,647517887,632713242,602772079,625050465,644780885,647517887,632713242,602772079,625050465,644780885,647157468,631753948,601816376,623916751,644343985,649245966,635578518,491109894,253465289,268146737,649239715,635552331,491111375,253480500,268160298
MaI867_08.jpg.png,bad,128607021,127476041,204267269,136014666,125976022,128607021,127476041,204267269,136014666,125976022,126020039,121174839,199063693,129347419,122706277,130833843,126529234,341826601,316748362,314267109,130336128,125956684,340649209,316755158,314073307,639113443,621529973,579296911,611498106,635889140,639113443,621529973,579296911,611498106,635889140,638759887,621003393,578690123,610951119,635491377,641212539,625297668,459849707,237333924,251082033,641208670,625164844,459851433,237346956,251093017
MaI867_09.jpg.png,bad,95724128,102713899,284294010,117568964,94386352,95724128,102713899,284294010,117568964,94386352,93336633,97408259,275097690,112518548,91510701,97050870,99533122,341278629,339248188,342005709,96670189,99056687,341014184,339694594,341928877,717088948,700800957,636183874,689638784,714488538,717088948,700800957,636183874,689638784,714488538,716661615,699956805,635391346,688700182,713986195,718704162,704800530,498416809,257213914,272117681,718691689,704578179,498417248,257223546,272126963
MaI867_10.jpg.png,bad,113934526,111039565,221064319,117650997,112292325,113934526,111039565,221064319,117650997,112292325,111714556,105156547,213503993,110759566,109407122,115468446,111459977,371016760,354257789,352817908,114845581,110326660,369275133,353810491,352434551,721715504,707405377,666969463,699879793,718773183,721715504,707405377,666969463,699879793,718773183,721340388,706418017,665892247,698739664,718320164,723676640,710011945,526970066,271944393,287701430,723668821,709963336,526970229,271961677,287718055
MaI867_11.jpg.png,bad,94153049,105998465,318186620,136206439,92388847,94153049,105998465,318186620,136206439,92388847,91479184,101980494,311567597,131746812,89395169,96056802,100249569,347769041,352474996,353586315,95602435,99946098,347763915,353281929,353162762,745528409,727263625,642755202,711758797,742938821,745528409,727263625,642755202,711758797,742938821,745009548,726156454,642193549,710548050,742327443,747032864,731869907,502902823,259539132,274576437,747049467,731808952,502903481,259546487,274582456
MaI867_12.jpg.png,bad,108356649,116874094,306140090,135785977,107502628,108356649,116874094,306140090,135785977,107502628,106358546,111164783,295697568,129123476,104646101,109430433,113328410,367256698,359432374,363928106,109034515,112451812,366555566,360147518,363133730,743522179,726580586,659289302,714811421,740572866,743522179,726580586,659289302,714811421,740572866,743176574,725823413,658535926,713921340,740144827,745472645,730505732,517224998,266914822,282380582,745450979,730352312,517227088,266930450,282395348
MaI867_13.jpg.png,bad,70447224,75730597,297075145,98130133,68093580,70447224,75730597,297075145,98130133,68093580,68545197,74478387,291877823,97851652,66715396,72036343,71300988,315975443,322684318,319226397,71936410,71530956,316330807,323302444,319438480,688013892,672601699,593275783,660486795,685745454,688013892,672601699,593275783,660486795,685745454,687600933,671850555,592966303,659575604,685281148,689336531,676661772,463223105,239072030,252922727,689319844,676427544,463223377,239074574,252925368
MaI867_14.jpg.png,bad,75643542,76206145,315252163,96600017,72744357,75643542,76206145,315252163,96600017,72744357,73791389,74777908,309999583,94865716,71503659,77778285,73461648,320118295,319900745,315459689,77449072,73475682,319890903,320928920,315867948,682007690,667015769,585680121,655922859,679632571,682007690,667015769,585680121,655922859,679632571,681426685,665740928,585318351,654658704,678915331,683376791,670426284,456723261,235719719,249375447,683356570,670291110,456725159,235725872,249381632
MaI867_15.jpg.png,bad,74344832,70413010,273067385,86078370,70593755,74344832,70413010,273067385,86078370,70593755,71972821,68419062,266475548,85491575,68478968,77135994,68202970,303142516,307201066,307656441,76768089,68099079,303524577,307519082,307445817,661553206,651078298,586189267,642329872,659943265,661553206,651078298,586189267,642329872,659943265,661123095,650287748,585413448,641315039,659459894,662480228,653663202,458429112,236598386,250305745,662493933,653618151,458431261,236603636,250310203
MaI867_16.jpg.png,bad,78428798,82817662,267880982,100612913,77017715,78428798,82817662,267880982,100612913,77017715,76920221,81424853,264527508,99409797,76011788,79537098,80246412,299933942,307439907,305068403,79313248,80239952,300778030,308012683,305197571,650570426,630309632,558943616,618077777,647091337,650570426,630309632,558943616,618077777,647091337,649959309,629162429,558489968,616947677,646352896,652678450,634712626,437000984,225539859,238606491,652588606,634407304,437003668,225545485,238611601
MaI867_17.jpg.png,bad,99466025,107037869,275821072,126392796,97537856,99466025,107037869,275821072,126392796,97537856,96536025,102437378,269219157,122137495,94355369,101354226,103204617,331800579,328546282,325647024,100887329,102936046,332270239,328835541,325448067,694635265,676180117,605242380,662851882,691862190,694635265,676180117,605242380,662851882,691862190,694094957,674934564,604325401,661456869,691199139,696287056,680660291,476101433,245705794,259941974,696267867,680474254,476103287,245715623,259951013
MaI867_18.jpg.png,bad,119871632,146137783,370574632,205711125,120543700,119871632,146137783,370574632,205711125,120543700,117456587,139709967,360855027,199537624,117319811,120540215,137817194,364895872,359391381,349248115,119986472,137070935,363266306,359221424,349151343,692010906,666839031,548685986,643847573,688331332,692010906,666839031,548685986,643847573,688331332,691569349,665898813,548520391,642557370,687781235,694212623,672847876,427946716,220855215,233649117,694206758,672726745,427949628,220870672,233662601
patch_10.jpg.png,bad,5295440,22221232,25280981,25499196,7201717,5295440,22221232,25280981,25499196,7201717,5439173,21924580,25008379,25566682,7225618,4332955,18983676,21128703,25657121,26337786,4334395,18884033,21135954,25723496,26429293,58457038,49585006,36484859,44360186,57376145,58457038,49585006,36484859,44360186,57376145,58298159,49374842,36300377,44164092,57174200,59089993,51729646,28603107,14759007,15614440,59064083,51722615,28603096,14758740,15614257
patch_11.jpg.png,bad,5925965,24286802,24733795,24447768,7657887,5925965,24286802,24733795,24447768,7657887,5977106,24154953,24763804,24631518,7603048,5078906,22174300,20441871,24599664,24581606,5073187,22218597,20493037,24580546,24620171,57729867,47820718,35418593,42765622,56597781,57729867,47820718,35418593,42765622,56597781,57592622,47667655,35256162,42598864,56439882,58402400,50077370,27866419,14379780,15213100,58416943,50096839,27866329,14379588,15213123
patch_12.jpg.png,bad,10945808,24340936,21749495,23982067,15234332,10945808,24340936,21749495,23982067,15234332,10924357,24395742,21887774,24046499,15052505,8807673,24291547,25981686,27614273,25767517,8801896,24330887,25971874,27697416,25907985,55413996,42197446,31481053,37812107,53156974,55413996,42197446,31481053,37812107,53156974,55234417,42025620,31337200,37634891,52968511,56597051,44247751,24888664,12843553,13587419,56621270,44256121,24888394,12842620,13587043
patch_13.jpg.png,bad,14262503,21526977,18731500,20633028,18823496,14262503,21526977,18731500,20633028,18823496,14123888,21674087,18296357,20786503,18769614,11115356,21548360,27981879,27896411,24901667,11170725,21591323,28012110,27906930,24775785,53642359,40939217,32324110,37412366,50853490,53642359,40939217,32324110,37412366,50853490,53511560,40713757,32122073,37176389,50710706,55185082,42588762,26355051,13599661,14387871,55172341,42579017,26355334,13600126,14388087
patch_14.jpg.png,bad,7138713,7417809,9871651,6879545,7680623,7138713,7417809,9871651,6879545,7680623,7120687,7420523,9693056,6854392,7704594,6318732,7574787,28450942,28152281,26669003,6343752,7580212,28423033,28150606,26638007,56434345,52252201,49303989,51169917,55350845,56434345,52252201,49303989,51169917,55350845,56393525,52188953,49269702,51108902,55304882,57163162,52776121,38817066,20028911,21190101,57164828,52772386,38817233,20028306,21189795
patch_15.jpg.png,bad,23321997,24044614,25054734,22286980,25169274,23321997,24044614,25054734,22286980,25169274,23312788,24100210,24402591,22173926,25275001,20213052,24558139,28186704,29265603,29385180,20168866,24585943,28256712,29305737,29389995,46502859,32530652,23743766,28948514,42877840,46502859,32530652,23743766,28948514,42877840,46374856,32363764,23678469,28797930,42737437,48883438,34196299,18498286,9546217,10099386,48884162,34195489,18498846,9545953,10099401
patch_16.jpg.png,bad,9986332,23847765,22620606,23990034,13439921,9986332,23847765,22620606,23990034,13439921,9960082,23929449,22648855,24095343,13281156,8317371,23322168,24986181,26740751,25685753,8284742,23319058,24936671,26712194,25664086,55787218,43521681,32457598,39015130,53810825,55787218,43521681,32457598,39015130,53810825,55582652,43264765,32220275,38743371,53579722,56869415,45586382,25680291,13250919,14019121,56865292,45587506,25680441,13250944,14018902
patch_17.jpg.png,bad,7479287,23646405,24349118,25110168,9873653,7479287,23646405,24349118,25110168,9873653,7473767,23501602,24355061,25094080,9844251,6327871,21709253,22481790,26074215,25932765,6287939,21700152,22428724,26008834,25975214,56765619,46229127,34002262,41286384,55302653,56765619,46229127,34002262,41286384,55302653,56619739,46084852,33894017,41145850,55137793,57623667,48420311,26670548,13762993,14560521,57627243,48420228,26670604,13762730,14560114
patch_18.jpg.png,bad,6999067,23359165,24872260,24791885,8917757,6999067,23359165,24872260,24791885,8917757,7042285,23105083,24728190,24859099,8855817,6000424,20893818,21476538,25653298,25875541,6042924,20810901,21601645,25618612,25898921,56511175,46931923,34753536,42008007,55239673,56511175,46931923,34753536,42008007,55239673,56366495,46818301,34683408,41907179,55074477,57287388,49104730,27328640,14102028,14919305,57285636,49097705,27328913,14102442,14919365
patch_19.jpg.png,bad,11343363,24535188,22454430,24657952,15284767,11343363,24535188,22454430,24657952,15284767,11284798,24671004,22535057,24594995,15089644,9579569,24565430,25974173,27400698,26026882,9640680,24524861,26009654,27424575,26051761,53815115,40683650,30063800,36341162,51608409,53815115,40683650,30063800,36341162,51608409,53672248,40570424,29980261,36229191,51465624,55038397,42752648,23647317,12203160,12910210,55043254,42735933,23647276,12203467,12910259
patch_20.jpg.png,bad,11760495,24452680,22775066,24239772,15372114,11760495,24452680,22775066,24239772,15372114,11746074,24520325,22612198,24249593,15304558,9754528,24398045,25642790,27220992,26178470,9824769,24300252,25672995,27283922,26160036,53926879,41046272,30373034,36697312,51679078,53926879,41046272,30373034,36697312,51679078,53700012,40762019,30121126,36396477,51427554,55184538,43083073,23871624,12319386,13032818,55199701,43071040,23871407,12318970,13032680
patch_21.jpg.png,bad,6481495,23451409,24404846,24974423,8627600,6481495,23451409,24404846,24974423,8627600,6511017,23290889,24363125,25026103,8606337,5440915,21352278,21774402,25520648,25516592,5487929,21243519,21785404,25595442,25659327,57017807,47094137,34842398,42141883,55756254,57017807,47094137,34842398,42141883,55756254,56856627,46954251,34731277,42007357,55568527,57764637,49303904,27399502,14139314,14958190,57755787,49289979,27399748,14140038,14959085
patch_22.jpg.png,bad,6088530,23737911,24224532,24400251,8053175,6088530,23737911,24224532,24400251,8053175,6067751,23523874,24176216,24500492,7955813,5170462,22005906,21743017,24925778,24690578,5208157,21938809,21820795,24896574,24636417,57249586,47210207,35160704,42327613,56075373,57249586,47210207,35160704,42327613,56075373,57072251,47051544,35020318,42172006,55875507,57943794,49431436,27735257,14313474,15142494,57948669,49413817,27735433,14314006,15143219
